1,背景の色の名前は？,2,アイスランド・ブルー,マリン・ブルー,ロイヤル・ブルー
2,背景の色の名前は？,3,レイク・ネス,オフェリア,スパルタ・ブルー
3,背景の色の名前は？,1,スマルト,テムズ・リバー,エナメル・ブルー
4,背景の色の名前は？,1,オーシャン,アルノ・ブルー,ムーンライト・ブルー
5,背景の色の名前は？,2,メディシ・ブルー,ボッティチェリ,セルリアン・ブルー
6,背景の色の名前は？,3,スモーキィ・アクア,ロンサール,ヴェネツィア
7,背景の色の名前は？,1,エコウ・ブルー,シンフォニー・ブルー,ブライト・シー
8,背景の色の名前は？,3,ティモール・ブルー,サザン・クロス,バンビーノ
9,背景の色の名前は？,2,オールド・チャイナ,フランス,ロンドン・トワイライ
10,背景の色の名前は？,1,ノクターン,アジュール・ブルー,レイク・コモ
11,背景の色の名前は？,3,ブライトン・ブルー,ミノルカ・ブルー,ヨット・ブルー
12,背景の色の名前は？,1,ピーコック・ブルー,アクア・グレイ,スマトラ
13,背景の色の名前は？,2,ホライズン・ブルー,ペロー,ターコイズ・タイル
14,背景の色の名前は？,2,フィルン,コメット・ブルー,シュプリーム
15,背景の色の名前は？,1,クレオパトラ,ゲーテ,オメガ・ブルー
16,信号の青の位置は？,1,左,真ん中,右
17,青はドイツ語で？,2,bleu,blau,blue
18,空が青く見えるのは？,1,散乱,くっ折,回折
19,青に赤を混ぜた色は？,3,Green,Yellow,Purple
20,青い宝石はどれ？,2,アメジスト,ラピスラズリ,オニキス
21,青い宝石はどれ？,1,タンザナイト,アンバー,オブシディアン
22,国旗に青がある国は？,3,ポルトガル,チュニジア,アルメニア
23,国旗に青がある国は？,1,エストニア,オーストリア,ブルネイ
24,国旗に青がある国は？,2,ラトビア,モンゴル,日本
25,国旗に青がある国は？,2,トルコ,チリ,スーダン
26,銀行で青といえば？,2,みつびしUFJ銀行,みずほ銀行,三井住友銀行
27,青魚といえば？,1,コハダ,ハマチ,カツオ,
28,存在しない青色は？,2,コーラル・リーフ,ハゲ,スクワル
29,存在しない青色は？,1,アラジン,マラソン,トゥアレグ
30,存在しない青色は？,3,ラシャ,ベルサイユ,ドラエモン
31,青がつく県の数は?,1,1つ,2つ,3つ